table_name,table_purpose,table_context,column_name,plain_english_definition
foundation_financial_worldpay_transactions,This table stores raw data about financial transactions made through WorldPay.,"Each row in this table represents a single transaction, including its unique identifier, type, amount, status, and user associated with the transaction.",user_id,The unique identifier for the user who initiated the financial transaction.
foundation_account_authgateway_session_created_events,Records when a new session is created for an account in the Authgateway.,"This table stores information about each time a new session is created for an account in the Authgateway. It includes details such as the session ID, user ID, success status, device type, and creation timestamp.",session_id,A unique identifier for the session.
foundation_account_authgateway_session_created_events,Records when a new session is created for an account in the Authgateway.,"This table stores information about each time a new session is created for an account in the Authgateway. It includes details such as the session ID, user ID, success status, device type, and creation timestamp.",user_id,The ID of the user associated with the session.
foundation_account_authgateway_session_created_events,Records when a new session is created for an account in the Authgateway.,"This table stores information about each time a new session is created for an account in the Authgateway. It includes details such as the session ID, user ID, success status, device type, and creation timestamp.",success,A boolean value indicating whether the session creation was successful or not.
foundation_account_authgateway_session_created_events,Records when a new session is created for an account in the Authgateway.,"This table stores information about each time a new session is created for an account in the Authgateway. It includes details such as the session ID, user ID, success status, device type, and creation timestamp.",device_type,"The type of device used to create the session (e.g., mobile, desktop)."
foundation_account_authgateway_session_created_events,Records when a new session is created for an account in the Authgateway.,"This table stores information about each time a new session is created for an account in the Authgateway. It includes details such as the session ID, user ID, success status, device type, and creation timestamp.",created_at,The date and time when the session was created.
foundation_account_verification_attempt,Stores information about each attempt to verify an account on the Foundation platform.,"Each row in this table represents a single verification attempt for a specific user, including the type of verification and its result.",attempt_id,A unique identifier for each verification attempt.
foundation_account_verification_attempt,Stores information about each attempt to verify an account on the Foundation platform.,"Each row in this table represents a single verification attempt for a specific user, including the type of verification and its result.",user_id,The ID of the user whose account was being verified during this attempt.
foundation_account_verification_attempt,Stores information about each attempt to verify an account on the Foundation platform.,"Each row in this table represents a single verification attempt for a specific user, including the type of verification and its result.",verification_type,"The type of verification that was attempted, such as email or phone number."
foundation_account_verification_attempt,Stores information about each attempt to verify an account on the Foundation platform.,"Each row in this table represents a single verification attempt for a specific user, including the type of verification and its result.",result,Whether the verification attempt was successful or not.
foundation_account_verification_attempt,Stores information about each attempt to verify an account on the Foundation platform.,"Each row in this table represents a single verification attempt for a specific user, including the type of verification and its result.",attempted_at,The date and time when this verification attempt occurred.
foundation_account_verified_user_details,This table stores the verified user details for each foundation account.,"Each row in this table represents a single verified user detail record for a specific foundation account, including their verification level, country, and active status.",user_id,The unique identifier for the user associated with this verified user detail record.
foundation_account_verified_user_details,This table stores the verified user details for each foundation account.,"Each row in this table represents a single verified user detail record for a specific foundation account, including their verification level, country, and active status.",verification_level,"The level of verification that has been completed for this user, such as email or government ID verification."
foundation_account_verified_user_details,This table stores the verified user details for each foundation account.,"Each row in this table represents a single verified user detail record for a specific foundation account, including their verification level, country, and active status.",verified_date,The date when the user's verification was completed.
foundation_account_verified_user_details,This table stores the verified user details for each foundation account.,"Each row in this table represents a single verified user detail record for a specific foundation account, including their verification level, country, and active status.",country,The country where the user is located.
foundation_account_verified_user_details,This table stores the verified user details for each foundation account.,"Each row in this table represents a single verified user detail record for a specific foundation account, including their verification level, country, and active status.",active,A flag indicating whether or not this user's account is currently active.
